"CODICE_VIA";"NUMEROCOMPLETO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
218;"";8;1515330,49;5034931,0443;515329,7762;5034836,6443;1023705,3596;5695325,4865;45,466900000000003;9,1961;0;185945;0
219;"";8;1515297,6093;5035036,3754;515296,897;5034941,972;1023658,9043;5695476,0875;45,467799999999997;9,1957;0;182795;0
220;"";8;1515354,74;5034992,5367;515354,025;5034898,1347;1023740,1042;5695413,2557;45,467399999999998;9,196400000000001;0;185037;0
221;"";8;1515361,1168;5035025,1644;515360,4015;5034930,7613;1023749,2981;5695459,8488;45,467700000000001;9,1965;0;182796;0
222;"";8;1515343,5692;5035132,1144;515342,8547;5035037,7078;1023724,6827;5695612,7117;45,468699999999998;9,196300000000001;0;182797;0
223;"";8;1515191,4876;5035006,636;515190,7802;5034912,2335;1023507,6876;5695433,9663;45,467599999999997;9,1943;0;182798;0
224;"";8;1515134,9127;5035151,6456;515134,208;5035057,2384;1023427,6244;5695641,3397;45,468899999999998;9,1936;0;185946;0
226;"";8;1515224,9034;5035496,8327;515224,1945;5035402,4143;1023556,9622;5696134,2245;45,472000000000001;9,194800000000001;0;185947;0
227;"";8;1515276,1713;5035235,3218;515275,46;5035140,9119;1023629,066;5695760,4035;45,4696;9,195399999999999;0;182799;0
228;"";8;1515212,6537;5035262,1664;515211,9453;5035167,7556;1023538,7084;5695798,9781;45,469900000000003;9,194599999999999;0;182800;0
229;"";8;1515224,389;5035346,0328;515223,6801;5035251,6193;1023555,7092;5695918,7635;45,470599999999997;9,194800000000001;0;182801;0
230;"";8;1514902,1191;5035056,4711;514901,4252;5034962,067;1023095,8053;5695506,1563;45,468000000000004;9,1906;0;182802;0
231;"";8;1515253,7899;5035329,6203;515253,0796;5035235,2073;1023597,5205;5695895,2117;45,470500000000001;9,1951;0;182803;0
232;"";8;1515039,7961;5034994,0821;515039,0958;5034899,68;1023291,6414;5695416,5519;45,467500000000001;9,192399999999999;0;185948;0
233;"";8;1515026,5363;5034971,492;515025,8366;5034877,0907;1023272,683;5695384,3228;45,467300000000002;9,1922;0;185949;0
234;"";8;1515308,4969;5034654,9622;515307,7841;5034560,5712;1023673,0848;5694931,1366;45,464399999999998;9,1958;0;182804;0
235;"";8;1515634,4615;5035758,7235;515633,7335;5035664,2966;1024141,132;5696506,9885;45,474299999999999;9,199999999999999;0;186581;0
236;"";8;1515379,0354;5035387,042;515378,3193;5035292,6272;1023776,0751;5695976,8188;45,470999999999997;9,1967;0;182805;0
237;"";8;1515260,604;5035565,4268;515259,8934;5035471,0062;1023608,0398;5696232,1095;45,4726;9,1952;0;182806;0
238;"";8;1515751,5279;5035384,3588;515750,7944;5035289,944;1024306,5135;5695971,6664;45,470999999999997;9,201499999999999;0;182807;0
239;"";8;1514969,2782;5034787,269;514968,5812;5034692,8737;1023190,5251;5695121,323;45,465600000000002;9,1915;0;182808;0
240;"";8;1515229,9013;5035360,0283;515229,1921;5035265,6143;1023563,6072;5695938,7409;45,470799999999997;9,194800000000001;0;185038;0
296;"";8;1515097,7193;5034667,6097;515097,0163;5034573,2183;1023373,005;5694949,9337;45,464500000000001;9,193099999999999;0;182809;0
297;"";8;1515459,3991;5034710,6989;515458,6793;5034616,306;1023888,1475;5695010,2359;45,4649;9,197699999999999;0;182810;0
